,nombre,direccion,telefono,correo,sitio_web,id_tarifas,id_habitaciones,id_clasificacion,id_ubicacion
97,GRANDORADO HOTEL,2 CALLE 12-30 ZONA 1,47161886,,,98,98,,306.0
98,HOSTAL CASA VIEJA,8A. AVENIDA 1-60 ZONA 2,38530078,hostalcasaviejachiquimula@hotmail.com,www.hostalcasaviejaenchiquimula.com,99,99,,306.0
99,HOSTAL MARIA TERESA,6A. CALLE 6-21 ZONA 1,22535040,,,100,100,,306.0
100,"HOTEL ""PERLA ORIENTAL""",2A. CALLE 10-07 ZONA 1,70563549,hmgr1980@hotmail.com,,101,101,,306.0
101,HOTEL CASA BLANCA,15 AVENIDA 6-24 ZONA 5,33005531,hotelcasablanca@hotmail.com,,102,102,,306.0
102,HOTEL ESTRELLA,11 AVENIDA A LOTE 30 ZONA 2 COLONIA MINERVA,67123929,hotelestrella38@gmail.com,,103,103,,306.0
103,HOTEL LAS PERLAS,10A. AVENIDA 4-31 ZONA 1,19502040,san792013@gmail.com,,104,104,,306.0
104,HOTEL LOS OLIVOS,11 AVENIDA 2-00 ZONA 1,68047612,,,105,105,,306.0
105,HOTEL PERLA DE ORIENTE,2DA. CALLE 11-50 ZONA 1,11052407,hotelperladeorientechiquimula@gmail.com,,106,106,,306.0
106,HOTEL POSADA EL CANJA,"KILOMETRO 171, RUTA A ESQUIPULAS",25359978,hpelcanja@gmail.com,www.chiquimula.expo.com,107,107,,306.0
107,HOTEL SLEEP-INN WVJ,"11 AVENIDA ""A"" 4-11 ZONA 2 COLONIA MINERVA",92225966,sleepinnhens@gmail.com,,108,108,,306.0
108,HOTEL VILLA REAL,COLONIA LAS LOMAS 1-23 ZONA 2,47185438,hotel.villareal1628@gmail.com,,109,109,,306.0
109,HOTEL Y RESTAURANTE VICTORIA,2 CALLE 9-99 ZONA 1,41042050,,,110,110,2.0,306.0
110,HOTEL Y RESTAURANTE VILLA ESPAÑA,11 AVENIDA A ZONA 2 COLONIA MINERVA,25015829,alecam28@hotmail.com,,111,111,,306.0
111,LA CABALLERIZA HOTEL,"KM. 175.5, ALDEA SABANA GRANDE CARRETERA A IPALA",24378198,lacaballeriza_loslaureles@yahoo.com,www.facebook.com/loslaureleschiquimula,112,112,,306.0
112,LA CASA DEL JOCKEY HOTEL Y RESTAURANTE,KILOMETRO 175.5 CARRETERA A IPALA ALDEA SABANA GRANDE,81908767,lacaballeriza_loslaureles@yahoo.com,,113,113,,306.0
113,PORTAL TOSCANA HOTEL,AVENIDA 6A. 5-59 ZONA 1,12477731,info@portaltoscana.com,www.portaltoscana.com,114,114,,306.0
114,TURICENTRO LAS LOMAS,ZONA 0 SEGUNDO BARRIO ALDEA VEGA ARRIBA,74504965,,fb: rancho las lomas,115,115,,306.0
115,GRAN ESTEFANIA HOTEL,"1 AVENIDA ""A"" ZONA 1 PLAZA SANTA FE",56115505,,,116,116,,312.0
116,GRAN VALLE HOTEL,1 AVENIDA A 13-80 ZONA 1,37551934,,,117,117,,312.0
117,HOTEL AMERICA,5A. AVENIDA 7-13 ZONA 1,99454061,thelmasolpa@yahoo.com,www.esquipulas.com.gt/hotelamerica/,118,118,,312.0
118,HOTEL EL GRAN CHORTI,KM. 222 ENTRADA A ESQUIPULAS,72082643,administracion@elgranchorti.com,www.elgranchorti.com,119,119,,312.0
119,HOTEL HACIENDA JOSE,10A. CALLE 0-08 ZONA 1 COLONIA QUIRIO CATAÑO II,23397618,,,120,120,,312.0
120,HOTEL IV CENTENARIO,11A. CALLE 0-18 ZONA 1 COLONIA QUIRIO CATAÑO I,94610785,reservacionesivcentenario@gmail.com,www.ivcentenariohotel.com,121,121,,312.0
121,HOTEL LAS CUPULAS,11 CALLE 3-35 ZONA 1,70456203,luzmarinalorenzo2008@hotmail.com,,122,122,,312.0
122,HOTEL LEGENDARIO,TERCERA AVENIDA Y NOVENA CALLE (ESQUINA) ZONA 1,31323266,legendariohotel@yahoo.com,www.hotellegendario.com,123,123,,312.0
123,HOTEL LOS ANGELES,2A. AVENIDA 11-94 ZONA 1,63656152,,,124,124,,312.0
124,HOTEL MONTECRISTO,3A. AVENIDA 9-12 ZONA 1,39591540,,,125,125,,312.0
125,HOTEL PAYAQUI,"2 AVENIDA, 11-56 ZONA 1",86258062,info@hotelpayaqui.com,www.hotelpayaqui.com,126,126,,312.0
126,HOTEL PLAZA MAXINE,9 CALLE 1-75 ZONA 1,57908552,,,127,127,,312.0
127,HOTEL POSADA DE MAMA CHILITA,10A. CALLE 1-55 ZONA 1,50448051,,,128,128,,312.0
128,HOTEL REAL ESQUIPULAS,10 CALLE 3-25 ZONA 1,79238340,hotelreal@gmail.com,www.realesquipulashotel.com,129,129,,312.0
129,HOTEL REAL SANTA MARIA,2A. AVENIDA Y 10 CALLE 2-01 ZONA 1,87355703,,,130,130,,312.0
130,HOTEL SAN JUDAS,9A. CALLE 5-47 ZONA 1,40435334,hotelsanjudas@yahoo.es,www.sanjudashotel.com.gt,131,131,,312.0
131,HOTEL VILLA DEL ROSARIO,"11A. CALLE, 1-74 ZONA 1 DOBLE VIA",39795164,info@hotelvilladelrosario.com,www.hotelvilladelrosario.com,132,132,,312.0
132,HOTEL VILLA ESPERANZA,3 AVENIDA 10-29 ZONA 1,21786277,hotelvillaes.info@gmail.com,,133,133,,312.0
133,HOTEL VILLA JUDITH,1 AVENIDA A 13-88 ZONA 1 COLONIA QUIRIO CATAÑO I,72639517,anselmomartinez445@gmail.com,,134,134,,312.0
134,HOTEL VISTA REAL,6 AVENIDA 12-25 ZONA 1 EDIFICIO PLAZA LA PAZ,51672303,evelynf893@gmail.com,,135,135,,312.0
135,HOTEL Y RESTAURANTE LAS FRONTERAS,"7A. AVENIDA, 3-70 ZONA 2 COLONIA LOS PINOS",17457067,,,136,136,,312.0
136,HOTEL Y RESTAURANTE VIPO,7A. AVENIDA Y 9A. CALLE ESQUINA 6-77 ZONA 1,95645685,hotelvipo@hotmail.com,,137,137,,312.0
137,MAHANAIM HOTEL INTERNACIONAL,10 CALLE 1-85 ZONA 1,55213270,info@mahanaimhotelinternacional.com,www.mahanaimhotelinternacional.com,138,138,,312.0
138,MAMA ROME HOTEL,"11 CALLE, 0-24 ZONA 1 COLONIA QUIRIO CATAÑO",71514524,,,139,139,,312.0
139,PORTAL DE LA FE HOTEL,"11 CALLE, 1-70 ZONA 1",70143411,,www.hotelportaldelafe.com,140,140,,312.0
140,POSADA SANTIAGO HOTEL Y RESTAURANTE,2 AVENIDA 11-69 ZONA 1,80286867,edvincorderoortega@gmail.com,,141,141,,312.0
141,PRINCESA ESTEFANÍA HOTEL,7 AVENIDA 10-13 ZONA 1,47989689,,,142,142,,312.0
142,VISTANA AL SEÑOR HOTEL,11A. CALLE B 1-42 ZONA 1,55164899,hotelvistana2@gmail.com,www.hotelvistana.com,143,143,,312.0
143,"WHITE HOUSE, INMOBILIARIA",9A. CALLE 1-42 ZONA 1 COLONIA QUIRIO CATAÑO II,73002739,,,144,144,,312.0
144,HOTEL JERUSALÉN,BULEVAR JERUSALEN BARRIO EL SUYATE PLAZA EL MAESTRO MARCO ANTONIO LIMA,34682100,floridalma3845perez@gmail.com,,145,145,,316.0
145,TURICENTRO SOLA,CAMINO PRINCIPAL ALDEA ZALFATE,48816857,turicentrosola@gmail.com,,146,146,,314.0
146,PARQUE DE AVENTURAS CAMPING,ALDEA SASPAN,61948142,paraglindingchiqui@gmail.com,fb: paraglinding chiquimula,147,147,,307.0
147,"HOTEL ""DONDE PILO""",ENTRADA A ALDEA SANTA RITA,22883844,jeorgiore@gmail.com,,148,148,,18.0
148,HOTEL CASA VIEJA,BARRIO EL PORVENIR,39985401,hotel.restaurantecasavieja@gmail.com,,149,149,,18.0
149,HOTEL PARK,BARRIO EL CALVARIO FRENTE AL PARQUE CENTRAL,11832527,edwinrod1@hotmail.com,,150,150,,18.0
150,HOTEL Y EVENTOS SANTA FE,"BARRIO EL PORVENIR, ALDEA SANTA LUCÍA CENTRO COMERCIAL SANTA FE, CONDADO SANTA FE",68201309,martinezvassaux@gmail.com,www.hotelsantafe.com.gt,151,151,,18.0
151,HOTEL Y RESTAURANTE SANTA LUISA,LOTIFICACION VILLAS ALDANA LOTE 89 Y 92 BARRIO EL PORVENIR,78474690,atencionalcliente@hotelsantaluisa.com,,152,152,,18.0
152,HOTEL Y RESTAURANTE HACIENDA LOS PAVOS REALES,"KILÓMETRO 95 CARRETERA A SALAMÁ 01-0 ZONA 0, ALDEA MARAJUMA PUENTE PERICAS 8055",11311555,amazaparedeselmy@gmail.com,,153,153,,19.0
153,ALOJAMIENTO SANTA GERTRUDIS,ALDEA SANTA GERTRUDIS,56175042,alvaroaguilaraldana@hotmail.com,,154,154,,20.0
154,HOTEL CAMINO LARGO,"KM. 85 RUTA AL ATLANTICO, LAS CHAMPAS",97132918,caminolargo@paseodelrancho.com.gt,www.paseodelrancho.com.gt,155,155,3.0,20.0
155,VILLA CAMILA,CALZADA SALIDA A MONTEGRANDE ZONA 2,58275058,"comerces14@hotmail.com, villacamila12@hotmail.com",,156,156,,24.0
156,TURICENTRO AURY,KILOMETRO 68 1/2,22668183,,,157,157,,23.0
157,HOTEL CALIFORNIA PACIFIC PALM,CANTON PUENTE DE PALO KILÓMETRO 59.5 CARRETERA ANTIGUA AL PUERTO,16624630,,redes sociales: hotel california pacific escuintla,158,158,,58.0
158,HOTEL CASA MIMA,1A. AVENIDA 0-10 ZONA 3 CONDOMINIO LAS GOLONDRINAS LOCAL A,89904496,hotelcasamima@gmail.com,,159,159,,58.0
159,HOTEL LA VILLA,"3 AVENIDA, 3-21 ZONA 1",58704661,hotellavilla@intelnet.com,www.hotelvillacuba.com,160,160,,58.0
160,HOTEL SARITA,"AVENIDA CENTROAMÉRICA, 15-32 ZONA 3",17349614,hotelsaritae@yahoo.com,www.saritahotel.com,161,161,3.0,58.0
161,MALLORCA COUNTRY CLUB,KM. 63 RUTA SOBRE AUTOPISTA AL PUERTO QUETZAL,20631020,lizsan1988@hotmail.com,rs: mallorca country club,162,162,,58.0
162,VISTA VERDE,KILOMETRO 65.5 CARRETERA A TAXISCO LOTE 1 ZONA 0 LOTIFICACION VISTA VERDE,99829802,"lubia.morales@yahoo.,com",www.turicentrovistaverde.com,163,163,,58.0
163,HOTEL ECOCABAÑAS,CALLE PRINCIPAL LOTE 6 ZONA 0 ALDEA PUERTO VIEJO,45449911,hotelecocabanas@gmail.com,fb e inst: hotel eco cabañas resort,164,164,,67.0
164,JODY`S HOTEL,"CALLE BAJA MAR, LOTE 19 ALDEA BUENA VISTA",82631011,helen.sanchezb@hotmail.com,www.buenavistasportfishing.com,165,165,,67.0
165,OCEANA RESORT + CONVENTIONS,KM. 128.3 ALDEA EL CONACASTE,82946856,info@digitalg32.sg-host.com,http://oceana.com.gt,166,166,5.0,67.0
166,PACIFIC FINS GUATEMALA,"CALLEJON MOLINA SUR ALDEA BUENA VISTA, LOTE 22 A",89139141,niels@pacificfins.com.gt,www.pacificfins.com.gt,167,167,,67.0
167,MAR-MAYA,PLAYA DE ALDEA SIPACATE,46088288,reservacionesmarmaya@yahoo.com,www.marmaya.com,168,168,,64.0
168,RABEARYJU,"CARRETERA A SIPACATE KM. 113, VISTA HERMOSA, CONTIGUO A GASOLINERA",83595604,,,169,169,,64.0
169,HOTEL VERSALLES,1 AVENIDA LOTE 8-D APARTAMENTO 1 LOTIFICACIÓN VERSALLES 1,37927424,donaldo98@hotmail.com,,170,170,,62.0
170,AGUA AZUL,KM. 106.5 ANTIGUA CARRETERA AL PUERTO DE SAN JOSÉ,60152735,alecam28@hotmail.com,,171,171,3.0,277.0
171,CASA SANTA ROSITA HOTEL Y RESTAURANTE,"CALLE PRINCIPAL LOTE 7, ALDEA SANTA ROSA, FRACCIÓN 1-C, ZONA 0",49479940,martha.tuchan@lcloud.com,,172,172,,277.0
172,COSTA VERDE,AVENIDA MAQUELLES Y CALLE DE ESSO,95183238,hotelcostaverdeguatemala@hotmail.com,www.hotelcostaverdeguatemala.com,173,173,,277.0
173,FINS´N FEATHERS CASA VIEJA LODGE,"KILOMETRO 108.5 CARRETERA AL PUERTO DE SAN JOSE, ALDEA SANTA ROSA",96671230,info@casaviejalodge.com,www.casaviejalodge.com,174,174,,277.0
174,HOTEL POSADA DEL QUETZAL II,"BARRIO MIRAMAR, PUERTO",26108082,javierleoneltorres@gmail.com; quetzal@posadadelquetzal.com,www.posadadelquetzal.com,175,175,,277.0
175,HOTEL SUITES MAR Y SOL,"PUERTO QUETZAL, KILÓMETRO 104.5 CARRETERA A IZTAPA",41532422,reservas@hotelmarysol.com,www.hotelmarysol.com,176,176,,277.0
