id,nombre,direccion,telefono,correo,sitio_web,id_ubicacion
19,PROYECTO LINGÜISTICO XELAJU,1A. CALLE 16-87 ZONA 1,34321238,,,113
20,SP.XELA,"11 AVENIDA 4-07 ZONA 1 LOCAL 304, EDIFICIO RIVERA",68297064,spxelaspanisimo.com,,113
21,ACADEMIA ANTIGUEÑA DE ENSEÑANZA DEL IDIOMA ESPAÑOL,1 CALLE PONIENTE # 10,96958716,mail@spanishacademyantigua.com,www.spanishacademyantiguena.com,26
22,ACADEMIA CIENCIA ARTE Y TECNOLOGIA,5A. CALLE ORIENTE NO. 1 SAN JUAN DEL OBISPO,60662398,imeldasicnimelda@outlook.es,,26
23,ACADEMIA DE ESPAÑOL CULTURAL SPANISH TRAVELING,"4A. CALLE PONIENTE # 17, INTERIOR CENTRO COMERCIAL SANTA MARIA, 2DO NIVEL",13088256,info@spanish-traveling.com,www.spanish-traveling.com,26
24,ACADEMIA DE ESPAÑOL MAYA,5A. CALLE PONIENTE NO. 20,63973781,registration@clmaya.com,www.clmaya.com,26
25,ACADEMIA DE ESPAÑOL MUNDO,1A. CALLE DEL CHAJÓN #5,35211044,info@mundospanishschool.com,www.mundospanishschool.com,26
26,ACADEMIA DON PEDRO DE ALVARADO,6 AVENIDA NORTE # 39,11042697,donpedro77@hotmail.com,www.donpedrospanishschool.com,26
27,ALIANZA LINGUISTICA CANO,AVENIDA EL DESENGAÑO NO. 10,31967262,escuelacano@hotmail.com,,26
28,CAMBIO SPANISH SCHOOL,4A. CALLE ORIENTE 28 C,77763317,cambiondg@ninoseguatemala.org,,26
29,CENTRO DEL LENGUAJE ESPAÑOL,"6A. AVENIDA NORTE 16 ""A""",16539056,guatemala@maximonivel.com,www.maximonivel.com  -  facebook: /maximonivel,26
30,CENTRO LINGUISTICO ATABAL,1 AVENIDA NORTE # 6,90959020,info@atabal.gob.jp,www.atabal.gob.jp,26
31,CENTRO LINGUISTICO LA UNION SPANISH SCHOOL,7A. CALLE PONIENTE #31,73779004,info@launion.edu.gt,www.launion.edu.gt,26
32,CHRISTIAN SPANISH ACADEMY,6A. AVENIDA NORTE NO. 15,94793421,information@learncsa.com,www.learncsa.com,26
33,ESCUELA DE ESPAÑOL IXCHEL,9 CALLE ORIENTE NO. 5 ENTRE SEGUNDA Y TERCERA AVENIDA,12594880,office@ixchel.com,ww.ixchelschool.com,26
34,ESCUELA DE ESPAÑOL PROYECTO LINGÜISTICO FRANCISCO MARROQUIN,6 AVENIDA NORTE NO. 43,46996748,info@spanishschoolplfm.com,www.spanishschoolplfm.com,26
35,ESCUELA DE ESPAÑOL TECUN UMAN,6 CALLE PONIENTE # 34,57788596,mcastellanos@tecunumanschool.edu.gt,www.tecuumanschool.edu.gt  /  fb: tecun umnan school,26
36,ZAMORA ACADEMIA ELEMENTAL DE ESPAÑOL,9 CALLE PONIENTE NO.7,84455223,info@learnspanish-guatemala.com,www.learnspanish-guatemala.com,26
37,ESCUELA DE ESPAÑOL JARDIN DE AMERICA,AVENIDA SANTANDER CALLE 14 DE FEBRERO,81038221,jardinschool_05@yahoo.com,"www.jardindeamerica.com ,www.atitlanspanishschool.com",95
38,JABEL TINAMIT,1A. CALLE A 3-30 ZONA 1,27784467,info@jabeltinamit.com,www.jabeltinamit.com,95
39,SAN MARCOS SPANISH SCHOOL,CHINIMAYA BARRIO TRES,55092262,info@sanmarcosspanishschool.com,,101
40,CORAZON MAYA,SALIDA LA FINCA TZANTIACAY,87804149,info@corazonmaya.com,www.corazonmaya.com,103
41,ESCUELA DE ESPAÑOL CO-OPERATIVE OF GUATEMALAN SPANISH TEACHERS,7 AVENIDA 3-037 ZONA 2,76673161,info@cooperativeschoolsanpedro.edu.gt,www.cooperativeschoolsanpedro.edu.gt,103
42,ESCUELA DE ESPAÑOL ORBITA,8A. CALLE 4-26 ZONA 2,41397567,director@orbitaspanishschool.com,www.orbitaspanishschool.com,103
43,"ESCUELA DE IDIOMA ESPAÑOL ""CASA ROSARIO""",8VA. AVENIDA 4-048 ZONA 2 SECTOR XETAGUAL CANTON CHUACANTE,93325878,samuel@casarosario.com,www.casarosario.com,103
44,ESCUELA MAYAB',7A. AVENIDA A PB 06 ZONA 2 SECTOR XETAWAL,34336253,juanpuac@yahoo.com,,103
45,IXIM ACHI SPANISH SCHOOL,"6 CALLE ""A"" 5-15 ZONA 2 XETAGUAL",79009878,,,103
46,LAKE ATITLAN SPANISH SCHOOL,8VA. CALLE 02-86 ZONA 2 CANTON CHUACANTE,64623100,lakeatitlanspanishschool@gmail.com,www.lakeatitlanspanishschool.com,103
47,SAN PEDRO,2 CALLE 1-23 SANSACARABAL DEL CANTON CHUACANTE,23972531,info@sanpedrospanishschool.org,www.sanpedrospanishschool.org,103
