id,nombre,direccion,telefono,correo,sitio_web,id_tipo,id_ubicacion
32,CELCAR TRAVEL AGENCY,8AV. 4-40 Zona 1,38386578,celcar.travelagency@gmail.com,,1,306
33,DESCUBRE ORIENTE GT,1ERA AVENIDA NO. 6 Zona 4 RESIDENCIAL LAS PERLAS,67575837,carlosruedas75@gmail.com,,1,306
34,FLOR DE MARIA TOUR´S,2A. AVENIDA 4-55 Zona 1,13121995,flordemaria_tours@yahoo.com,,3,306
35,LAX TRAVEL CHIQUIMULA,CENTRO COMERCIAL LA PRADERA CHIQUIMULA SEGUNDO NIVEL CARRETERA CA-10 KILOMETRO 167.5 RUTA A ESQUIPULAS,91756322,next.travel.chiquimula@hotmail.com,fb: lax chiquimula,2,306
36,MULTISERVICIOS EL ARADO 2,11 AVENIDA Y 4A. CALLE 11-00 Zona 1,49544592,soniamayorga2005@yahoo.com,,2,306
37,TIME TO TRAVEL - AGENCIA DE VIAJES,7 CALLE LOTE 366 Zona 2 COLONIA LINDA VISTA,50145333,altagencia25@gmail.com,timetotravel.com.gt,2,306
38,TRANSPORTES ALEX TOURS,1A. AVENIDA 7-26 Zona 4,10051247,alextours07@yahoo.com,,1,306
39,TRANSPORTES MERY TOURS,AVENIDA CENTRAL 0-94 Zona 4 BARRIO EL MOLINO,24212396,,,1,306
40,VIAJES A&S,8A. AVENIDA 4-60 Zona 1,12457225,anayanasandoval@gmail.com,,2,306
41,VISA TRAVEL CHIQUIMULA,5 CALLE 7-030,99408204,visatravelchiquimula@gmail.com,,2,306
42,"VIAJES ""PRIMAVERA"" CONCEPCIÓN LAS MINAS",2A. CALLE Zona 02 A POCOS PASOS DE LA PNC,35211038,blancalidiaduarte@gmail.com,,2,313
43,YARDEN TOURS,CALLE PRINCIPAL ALDEA LA ERMITA,23968546,yardentours22@gmail.com,,2,313
44,AGENCIA DE VIAJES Y TRAMITES TUVISA,6 AVENIDA 4-24 Zona 1,98280935,agenciatuvisa@gmail.com,,2,312
45,CITY TRAVEL ESQUIPULAS,8A. AVENIDA 10-05 Zona 1 BARRIO SAN SEBASTIAN,31811671,citytravelesquipulas@gmail.com,,1,312
46,LUXUR,3A. AVENIDA 4-01 Zona 1,35166446,luxurproyectos@yahoo.es,luxurproyectos@gmail.com,3,312
47,"SCOUTOUROPERADOR ""STO"" TURISMO DE MONTAÑA TRINACIONAL",BARRIO JESUS Y MARIA 8350 Zona 1,33103301,scoutouroperador502@gmail.com,redes sociales,1,312
48,AVIMA TRAVEL,BARRIO SAN LORENZO,18200183,avimatravel@gmail.com,,2,309
49,AGENCIA DE VIAJES DIAL TRAVEL,1RA. CALLE 0-39 Zona 1 BARRIO EL PUENTE 2DO. NIVEL,53080960,dial_travel@hotmail.com,,3,314
50,VIAJES MUNDIALES,BARRIO EL PORVENIR,10463795,viajesmundiales502@gmail.com,,2,18
51,TRAVEL VILLA REAL GUATEMALA,ALDEA MARAJUMA,19907674,travelvillarealguatemala@gmail.com,,3,19
52,EL RANCHO TRAVEL,BARRIO EL CEMENTERIO ALDEA EL RANCHO,61306807,eduardopaiz81@gmail.com,,3,20
53,ORIMARSA,BARRIO PUEBLO ABAJO,47898677,orimarsa@hotmail.com,,1,23
54,MAYAN AGENCIA DE VIAJES,4TA. AVENIDA 5-42 Zona 1,83648268,gabriela_2015@outlook.com,,2,58
55,CHARTERS DEL PACIFICO,CALLEJON MOLINA SUR LOTE 22 ALDEA BUENA VISTA,73166743,niels@pacificfins.com.gt,,1,67
56,PACIFIC FINS GUATEMALA,CALLEJON MOLINA SUR LOTE 22 Zona 00 ALDEA BUENA VISTA,36381027,niels@pacificfins.com.gt,www.pacificfins.com.gt,1,67
57,MEGA TRAVEL EXPRESS,"CASA # 9 RESIDENCIAL LAS VICTORIAS SECTOR 63,",44637340,megatravelexpress@hotmail.com,www.megatraelexpres.com.gt,3,68
58,DECISIVE,"PLATAFORMA 1 CASA #10 Zona 3 URBANIZACION LIKIN, PUERTO DE SAN JOSE",41318293,lodge.host@guatbilladv.com,,1,277
59,FINS´N FEATHERS CASA VIEJA LODGE,"KILOMETRO 108.5, CARRETERA AL PUERTO DE SAN JOSÉ ALDEA SANTA ROSA",68696028,info@casaviejalodge.com,,1,277
60,SPORT FISHING IN GUATEMALA,"CALLEJON 4 LOTE 31 COL. STA. CECILIA, FRENTE A IGLESIA LOS MORMONES",70363168,sportfishinginguatemala@gmail.com,,1,277
61,TOUR OPERADORA VISION Y CONOCIMIENTO,"CALLE PRINCIPAL, LOTE 49-B ALDEA SANTA ROSA, KILOMETRO 108",55507575,jc@vctours.com,,1,277
62,AGENCIA DE VIAJES SOL TRAVEL,2A. AVENIDA NORTE 1-22 Zona 1,98239501,viajeserica@hotmail.com,,3,59
63,BLACK SAND KAYAKS,4 CALLE LOTE 158 EL PAREDON,17921364,info@blacksandkayaks.com, @blacksandkayaks.com,1,71
64,"AGENCIAS DE VIAJES Y TRANSPORTE TURISTICO ""A DIOS SEA LA GLORIA""","15 CALLE 4-3, ZONA 1",23368179,arrodgal@hotmail.com,,1,63
65,AMATITOURS,CALLE DECIMA 2-58 BARRIO SAN ANTONIO,41626357,amatitours@gmail.com,,1,14
66,AVENTURAS CHAPINAS,4A. CALLE A LOTE 16 COLONIA LOTITA,67813970,info@aventuraschapinas.com,www.aventuraschapinas.com,1,14
67,CUMBRES Y DESTINOS GT,6A CALLE 8-03 BARRIO HOSPITAL,21274993,cumbresgt@gmail.com,www.cumbresydestinosgt.com fb: cumbres y destinos gt,1,14
68,JEATOURSGT AGENCIA Y TOUR OPERADORA,CALLE 1 LOTE 1 COLONIA EL PRADO 2,68782956,,,1,14
69,TOP TRAVEL,9A. AVENIDA 3-46,96703862,kayala@toptravelguatemala.com,www.toptravelguatemala.com,3,14
70,XPEDITIONS TOURS GUATEMALA,1A. AVENIDA 1-41 RESIDENCIALES LOS ANGELES,18546913,xpeditionstoursguatemala@gmail.com,,1,14
71,TODOS A BORDO GT,"MANZANA 27 LOTE 8 SECTOR 1, TIERRA NUEVA 1",84107910,todosabordogt@gmail.com,,1,6
72,ABBA TURISMO EN GUATEMALA,KM. 16.5 CASA 3 ARRAZOLA PANORAMA CARRETERA A EL SALVADOR,19889015,info@turismoguatemala.com.gt,www.turismoenguatemala.com.gt,1,13
73,ANYWHERE GUATEMALA NATURE,KM 19.5 CARRETERA A FRAIJANES 77 CONDOMINIO SAUZALITO,96146322,bitty@anywhereguatemala.com,www.anywhere.com/guatemala,4,13
74,DESTINY TWO SPORT GUATEMALA,"KILOMETRO 21.8 CARRETERA A EL SALVADOR ECO PLAZA ECO PLAZA, OFIBODEGA 110",90921553,jcgalindow@gmail.com,www.destiny2sport.com,2,13
75,GET AWAY GUATEMALA,CARR. AL SALVADOR KM. 17.5 LOTE 70 COLONIA LA ARRAZOLA III,71375492,getawayguatemala@gmail.com,www.getawayguatemala.com,1,13
76,GOLDEN TRAVEL,"KILOMETRO 19, CARRETERA A LO DE DIEGUEZ LOTE 113 CONDOMINIO BRISAS DEL CAMPO",87567482,goldentravelguate@gmail.com,goldentravelgt,2,13
77,GUATEMALA NATURE,KM 19.5 CARRETERA A FRAIJANES 77 CONDOMINIO SAUZALITO,90155623,bytty@guatemalanature.com,www.guatemalanature.com,4,13
78,GUATENUESTRA,KM. 20.5 CARRETERA A FRAIJANES 26 CONDOMINIO ENTREVERDES,33707545,guatenuestra40@gmail.com,,1,13
79,INFINITE TRAVEL,"1A. CALLE 1-36 Zona 3 KM. 17.2 AL SALVADOR, ALDEA DON JUSTO",48075646,markruiz@infinite-travel.net,www.infinite-travel.net,2,13
80,LATINOS TRAVEL Y SERVICIOS GUATEMALA,"KILOMETRO 16.5, CARRETERA A EL SALVADOR LOTE 18 ARRAZOLA, PANORAMA II",53360189,latinostravel@gmail.com,www.latinostravelonline.com,3,13
81,MLT WHOLESALE,"KILOMETRO 23, CARRETERA A EL SALVADOR 2DO. NIVEL C. COMERCIAL DECO CITY, LOCAL P11A, 2DO. NIVEL",42404459,info@mltwholesale.com,www.mltwholesale.com,4,13
82,VIAJES JETT,"KILOMETRO 19.5, CARRETERA A FRAIJANES 77 CONDOMINIO EL SAUZALITO",35132977,bitty@guatemalanature.com,,1,13
83,2TRAVEL,1 AVENIDA 27-72 COLONIA LA REFORMITA,42326189,,www.2travel.com.gt,2,1
84,4TRIP,7A. CALLE 17-72 Zona 15 COLONIA EL MAESTRO,32108930,4tripgt@gmail.com,,1,1
85,5 ELEMENTO TRAVEL SHOP,"13 CALLE ""C"" 30-33 Zona 7 CIUDAD DE PLATA I",60285106,ventas@5elementotravel.com,fb:/5elementotravelgt,2,1
86,502 EXPERIENCE,"AVENIDA LA REFORMA 1-64 Zona 9 EDIFICIO REFORMA, LOCAL 906",40727179,ventas@magoya.com.gt,"502 experience / facebook, ig",1,1
87,502 TOURS,"19 AVENIDA 2-78 Zona 11 COLONIA EL MIRADOR, OFICINA 714",54601179,ventas@502tours.com,502tours.com,2,1
88,A TRAVEL,31 AVENIDA 01-73 Zona 7 UTATLAN,90085892,hiuber.e@gmail.com,,1,1
89,ABASA,25 AVENIDA 3-00 Zona 15 VISTA HERMOSA I,43151320,petrabax@intelnet.net.gt,,5,1
90,ACHEKA TRAVEL,AVENIDA LAS AMERICAS 18-81 Zona 14 EDIFICIO COLUMBUS CENTER 5TO. NIVEL,51061824,info@achekatravel.com,www.hktravel.gt - facebook: /acheka travel,2,1
91,ADA CLINIK TURISMO MEDICO,"6A. AVENIDA 6-63 Zona 10 EDIFICIO SIXTINO 1, NIVEL 3",56283103,adaclinikturismomedico@gmail.com,,3,1
92,ADN,8 AVENIDA 16-41 Zona 1,72680036,,,1,1
93,AFE TOURS,10 AVENIDA LA REFORMA 9-55 Zona 10 OFICINA 904,96425936,info@afetours.net,,1,1
94,AG BRUCE,"12 AVENIDA ""A"" 22-17 Zona 1",88610010,annie@bruceguatemala.com,www.bruceguatemala.com,1,1
95,AGENCIA DE VIAJES 360 TRAVEL,17 CALLE 11-31 Zona 2 COLONIA CIUDAD NUEVA,40404322,360travelguatemala@gmail.com,,2,1
96,AGENCIA DE VIAJES ATLANTIS,"Zona 17 COMERCIAL METRO NORTE PLAZA NOR ORIENTE, 2° NIVEL",10751626,,,2,1
97,AGENCIA DE VIAJES AVE,13 CALLE 3-40 Zona 10 EDIFICIO ATLANTIS,45407465,atoledosaravia@yahoo.com,,2,1
98,AGENCIA DE VIAJES BLUE PASS,AVENIDA PETAPA 50-60 Zona 12 OFICINA 201,75880609,viajes.bluepass@gmail,,2,1
99,AGENCIA DE VIAJES EDUTRAVEL GT,"1 AVENIDA 10-87 Zona 10 EDIFICIO TORRE VIVA, NIVEL 5",81999274,ventas@edutravelgt.com,,1,1
100,AGENCIA DE VIAJES GUATEMAYA,6 CALLE 5-28 Zona 9 EDIF. TORRE CRISTAL SEGUNDO,67645536,maby.c1998@gmail.com,,1,1
101,AGENCIA DE VIAJES GUATEVIVA,"5 AVENIDA 15-45 Zona 10 TORRE I, CENTRO EMPRESARIAL",65502717,ventas@viajesguateviva.com,www.hotelesdepeten.com fb: guateviva agencia de viajes,6,1
102,AGENCIA DE VIAJES MUNDO TRAVEL,"11 AVENIDA 39-75 Zona 11 COLONIA LAS CHARCAS, APTO. B",99020415,,,6,1
103,AGENCIA DE VIAJES NISSI,5 AVENIDA 12-65 Zona 9,68779959,ventas@agenciadeviajesnissi.com,www.agenciadeviajesnissi.com fb: agencia-de-viajes-nissi,2,1
104,"AGENCIA DE VIAJES PANAMERICANA, SOCIEDAD ANÓNIMA","AVENIDA DE LA REFORMA 8-60 Zona 9 OFICINA 224 EDIFICIO GALERIAS REFORMA, OFICINA 224",42138980,jasmin@viajespanamericana.com.gt,fb/ viajes panamericana,2,1
105,AGENCIA DE VIAJES TURIMPORT,"11 CALLE Y 15 AVENIDA FINAL 12-53 Zona 10 OAKLAND, EDIFICIO UXLABIL",43226603,jr@turimport.com,www.turimport.com,2,1
106,AGENCIA DE VIAJES WATE TUR,17 AVENIDA 16-96 Zona 11 ANILLO PERIFERICO,54289476,alecarcamo@watetur.com.gt,,3,1
107,AGENCIA DE VIAJES WATE TUR,CALZADA AGUILAR BATRES 34-25 Zona 12,63731224,info@watetur.com.gt,www.watetur.com.gt,2,1
108,AGENCIA DE VIAJES WORLD AND TRIP,"12 CALLE 2-04 Zona 9 EDIFICIO PLAZA DEL SOL, NIVEL 5, LOCAL 513",88650904,worldandtripgt@gmail.com,,2,1
109,AGENCIA DE VIAJES YA TAI TRAVEL & SERVICE GUATEMALA,11 CALLE 0-48 Zona 10 EDIF. EL DIAMOND CENTER OF.103,65653147,,,2,1
110,AGENCIA DE VIAJES YA TAI TRAVEL GUATEMALA,11 CALLE 0-48 Zona 10 EDIFICIO DIAMOND,47636760,yataitravel10@gmail.com,,2,1
111,ALESSANDRO TRAVEL,12 CALLE 1-25 Zona 10 CENTRO EMPRESARIAL GEMINIS 10,56784346,alessandrotravel004@gmail.com,,3,1
112,ALL TOURS GUATEMALA,8A AVENIDA 20-08 Zona 11 COLONIA MARISCAL,36569998,info@alltoursguatemala.com,alltoursguatemala.com,1,1
113,ALLIANCE TRAVEL WORLD,"2 CALLE 7-79 Zona 9 EDIFICIO NOVA REFORMADOR, OFICINA 1103",73103174,reservas@atwguatemala.com,www.atwguatemala.com,3,1
114,ALTAGUA,1 CALLE A 20-79 Zona 14 COL. LAS VICTORIAS,59533962,gruposostavisa@gmail.com,,1,1
115,AMTOURS,"4TA. AVENIDA 12-59 Zona 10 PLAZA FONTABELLA, OF. 3 E, 3ER. NIVEL",22517813,msaenz@amtours.com.gt,www.amtours.com,5,1
116,ANGELES TRAVEL,"AVENIDA REFORMA 8-95 Zona 10 EDIFICIO AVENIDA, LOCAL 7, PLANTA BAJA",42507574,sarvemenendez@hotmail.com,,2,1
117,ANGLO S.A.,8A. AVENIDA 3-90 Zona 14 LA RAMBLA,86455616,anglo@inglosa.com,,5,1
118,ARSANS,"2A. CALLE 37-86 Zona 7 CASA NO. 26, RESIDENCIALES BOUGANVILIAS",54105847,arsans@redinter.net.gt,www.transportesarsans.com,3,1
119,ASESORES DE TURISMO GUATEMALA,12 CALLE 2-25 Zona 1,65902787,asesoresdeturismogt@gmail.com,,1,1
120,ASESORIA Y TURISMO,7A. AVENIDA 7-22 ZONA 4 OFICINA 17,14970495,asesoriayturismo2000@gmail.com,,2,1
121,ASSA DE GUATEMALA,"AVENIDA HINCAPIÉ Zona 13 FINCA LA AURORA AEROPUERTO INTERNACIONAL LA AURORA, HANGAR L23",57313777,assaguat@intelnet.net.gt,,2,1
122,ATARA,"COLONIA VISTA HERMOSA II, 25 AVENIDA 1-89 OFICINA 1602, ZONA 15",14723546,,,2,1
123,AVENTURA NOMADA,16 AVENIDA 8-07 Zona 16 COLONIA LA MONTAÑA,65854529,thechickenbustravel@gmail.com,www.thechickenbustravel.com,1,1
124,AVENTURAS DE GUATEMALA,"12 CALLE 2-04 Zona 9 EDIFICIO PLAZA DEL SOL EDIFICIO PLAZA DEL SOL, OFICINA 401",30916690,explore@guateadventours.com,,1,1
125,BE GUATEMALA,11 CALLE 10-43 Zona 1,62232960,info@beguatemala.com,www.beguatemala.com,3,1
126,BLESS TRAVEL,"AVENIDA REFORMA 15-54 Zona 9 EDIFICIO REFORMA OBELISCO, OF.19 NIVEL 2",60238527,2331-3383,mireya@blesstravel.com.gt,2,1
127,BLUE PLANET TOURS,AVENIDA LAS AMERICAS 19-20 Zona 13,17804119,rariza@blueplanettours.com,www.blueplanet.com,1,1
128,BOPASA,27 AVENIDA FINAL 37-50 Zona 5 COMERCIAL LA JOYA,72550803,raderios@bopasa.com,,3,1
129,BOSA TOURS & TRAVEL,"BOULEVARD LOS PROCERES, 18 CALLE 24-69 Zona 10 ZONA PRADERA, TORRE 2, 10MO. NIVEL",15038644,esb@bosatoursandtravel.com,bosatoursandtravel.com,7,1
130,BOTSWANNA TOURS,"8A. AV. ""C"" 17-97, ZONA 19, COL. 1ERO. DE JULIO",38175364,,,4,1
131,BUEN VIAJE,"21 CALLE 12-16 Zona 11 COLONIA MARISCAL, APTO 1 B",72151824,ingridparedes.ag@gmail.com,facebook/buenviaje,2,1
132,BUS-CAR PAISAJES,3A. AVENIDA 18-00 Zona 2,66949346,mebm2006@yahoo.es,,1,1
133,C.R. VIAJES,18 CALLE 14-12 Zona 13,39885354,servicioguatemala@crviajes.net,www.crviajes.net,4,1
134,CANIZ VAN LINES,"AV. HINCAPIÉ 5-13, ZONA 13",12924048,canizvl@gua.net,,3,1
135,CARIBBEAN TOURS,6A. AVENIDA 14-27 Zona 9,69093414,,,3,1
136,CAYAYA BIRDING,36 AVENIDA 1-64 Zona 7 COLONIA TOLEDO,24793216,info@cayaya-birding.com,www.cayaya-birding.com,1,1
137,CENTURY TRAVEL,"6A. AVENIDA ""A"" 13-14 Zona 9",24280121,,,4,1
138,CIELO MAYA OPERADOR DE TURISMO,5 CALLE 33-05 Zona 11 COLONIA UTATLAN II,47919897,info@mayasky.com.gt,mayasky@guate.net,1,1
139,CIKLOS TRAVEL,22 AVENIDA 4-83 Zona 14,99849527,mr@gruposostavisa.com,www.cliklostravel.com,1,1
140,CIKLOS TRAVEL,1A CALLE A 20-79 Zona 14 COLONIA LAS VICTORIAS,25549325,gruposostavisa@gmail.com,,1,1
141,CITY TRAVEL,"14 CALLE 06-07 Zona 10 EDIFICIO VASANTA, NIVEL 3, OF. 319",21671680,info@citytravel.com.gt,www.citytravel.com.gt,2,1
142,CLARK TOURS,7A. AVENIDA 14-76 Zona 9,87223458,info@clarktours.com.gt,www.clarktours.com.gt - fb: clark tours,3,1
143,CLARK TOURS SUC. CAMINO REAL,AVENIDA REFORMA 14 CALLE Zona 10,81938971,info@clarktours.com.gt,www.clarktours.com.gt,3,1
144,CLARK TOURS SUCURSAL BARCELO,7A. AVENIDA 15-45 Zona 9,26790495,info@clarktours.com.gt,www.clarktours.com.gt,3,1
145,CLUB TURISTICO MUNDO SOL MAYA TOUR OPERADOR,"AVENIDA REFORMA 8-95 Zona 10 EDIFICIO AVENIDA, LOCAL 15",51719666,mundomaya@itelgua.com,www.mundosolmaya.com,7,1
146,"CNC, MAYORISTA DE VIAJES","6A. AVENIDA 8-41 Zona 9 EDIFICIO COMERCIAL LORENA, NIVEL 2",48073633,ardonr@viajestivoli.com,,5,1
147,COACTEMALAN TOURS,"CALZADA AGUILAR BATRES 29-41, ZONA 12",50006913,,,3,1
148,COCKTAIL TOURS,19 AVENIDA 16-36 Zona 10,78584481,info@cocktailtours.com,www.cocktailtours.com,3,1
149,CONDOR VERDE TRAVEL,"7 CALLE ""A"" 01-65 Zona 14",52323447,j.revolorio@condorverdetravel.com,www.condorverdetravel.com / fb: condorverdetravel,1,1
150,CONFIANZA GUATEMALA TOURS,6A. AVENIDA 1-27 Zona 4 CENTRO COMERCIAL MR. BODEGUITAS,44811310,confianzatours@gmail.com,livenowtours.com,3,1
151,CONTIVIAJES,"6 AVENIDA 4-29 Zona 10 EDIFICIO BOUGAMBILIAS, PLANTA BAJA",89686141,gabrielaviajes@gmail.com,,2,1
152,CONTURSA,"12 CALLE 6-40, ZONA 9, L.5, EDIF. PLAZUELA",47663605,lideve@contursaintl.com,www.contursaintl.com,3,1
153,CONTURSA,12 CALLE 6-40 Zona 9 EDIFICIO PLAZUELA,38569940,info@contursaintl.com,www.contursaintl.com,2,1
154,"CORPORACION DE VIAJES ""CTN GROUP""",4 AVENIDA 19-26 Zona 14 EDIFICIO EMPRESARIAL 14,22963620,gerencia.comercial@ctngroup.com.gt,ctngroup.com.gt,2,1
155,CORPORACION GOMEZ,"2A. CALLE ""B"" 33-79, ZONA 11, COLONIA UTATLÁN II",30906613,imgosa@infovia.com.gt,,3,1
156,CORPOVIAJES,20 CALLE 10-80 Zona 10 CONDOMINIO JARDINES DE LA VILLA,12375575,gerencia@covistagt.com,www.covistagt.com,4,1
157,CREA - SERVICIOS,19 AVENIDA B 10-57 Zona 17 COLONIA LOMAS DEL NORTE,45856533,aleydaleon@hotmail.com,,2,1
158,CROWN TOURS,"4A. CALLE 23-03, ZONA 14",51236803,,,2,1
159,CUMBRE37,AVENIDA ELENA 17-04 Zona 3,18692723,cumbre37gt@gmail.com,www.facebook.com/cumbre37/,1,1
160,D´VIAJE,14 CALLE A 30-17 Zona 7 COLONIA CIUDAD DE PLATA 2,65224456,dviaje@gmail.com,,3,1
161,DEAVENTURA,"14 CALLE 5-57, ZONA 11, COLONIA MARISCAL",22273437,rimguate@guate.net,,5,1
162,DECAMERON I,"9A CALLE 15-45 Zona 13 EDIFICIO PLAZA TRAFALGAR, PRIMER NIVEL",20014469,admin.gt@multivacionesdecameron.com,www.multivacaionesdecameron.com,2,1
163,DECAMERON III,16 CALLE 1-01 Zona 10 LOCAL 12,60470780,infotg@multivacacionesdecameron,www.multivacacionesdecameron.com,2,1
164,DECAMERON IV,CARRETERA AL ATLANTICO 3-20 CENTRO COMERCIAL PORTALES,15736190,admin.gt@multivacacionesdecameron.com,www.multivacacionesdecameron.com,2,1
165,DESCUBRE GUATEMALA,11 AVENIDA 13-42 Zona 2 CIUDAD NUEVA,12922324,info@descubreguatemala.com.gt,www.descubreguatemala.com.gt,1,1
166,DESTINOS A & J,7A. AVENIDA 13-01 Zona 9 EDIFICIO LA CUPULA,56504480,josefernandez@destinosayj.com,,1,1
167,DISCOVER THE WORLD MARKETING,AVENIDA REFORMA 7-62 Zona 9 EDIFICIO ARISTOS REFORMA OF. 416 B,17039788,main@discovergua.com,www.discovertheworld.com,6,1
168,DISCOVERY FLYING,BOULEVARD VISTA HERMOSA 17-30 Zona 15 PLAZA NAHUM LOCAL 102,19262740,discoveryflying@gmail.com,,3,1
169,DISEÑO DE VIAJES,7 AVENIDA 13-01 Zona 9 LOCAL 4 EDIFICIO LA CÚPULA,63765728,alexandra@agenciaddv.com,www.agenciaddv.com fb/ agencia diseño de viaes,1,1
170,DON Q TOURS,1 AVENIDA 38-10 Zona 11 RESIDENCIALES PRIMAVERA,46798192,eporrasr@donqtours.net,facebook: /donqtours.guatemala,3,1
171,DRAGONFLY,"10A. AVENIDA ""D"" 9-40 Zona 17 SAN FERNANDO",22212545,fragonflytour@yahoo.com,,3,1
172,DREAM AND TRAVEL,"13 CALLE 3-40 Zona 10 EDIFICIO ATLANTIS EDIFICIO ATLANTIS, OFICINA 19",32872594,magdalena.alvarado@dreamtravel.com.gt,,2,1
173,EASA DE GUATEMALA,6 CALLE 1-36 Zona 10 EDIFICIO VALSARI,15724317,infogt@easaalmendares.com,www.easa.com,5,1
174,EK CHUAH,3A. CALLE 6-24 Zona 2,32599216,administracion@ekchuah.com,www.ekchuah.com,1,1
175,EL MIRADOR TRAVEL SERVICES,2 CALLE 23-80 Zona 1,58549200,elmiradorguate@gmail.com,,3,1
176,EMELY TOURS,"AVENIDA REFORMA 8-60 Zona 9 EDIFICIO GALERIAS REFORMA, OF. 310",14308910,ventas@emelytours.org,,3,1
177,EMELY TOURS,"AVENIDA REFORMA 1-50 Zona 9 EDIFICIO EL REFORMADOR, OFICINA 803",63921414,emelytourcopro@gmail.com,,3,1
178,ESPECIALISTAS EN ECOTURISMO Y AVENTURA,4A. AVENIDA A 21-43 Zona 14,50238771,info@mayaworld.org,www.ecotourism-adventure.com,1,1
